Timestamp,Tx Offset Hz,Rx Offset Hz,Offset Delta Hz,Message,SNR dB,DT s,Sat,Az °,El °,Range km,Main Hz,Sub Hz,Main+Sub Hz,Doppler up Hz,Doppler down Hz,Tuning Offset Hz,RIT,RIT Freq Hz,Time diff s,Drift,Residual Doppler,Doppler up rate,Doppler down rate
260130_211330,2560,1132,1428,I2OIM M0SNZ RR73,-8,-0.0,RS-44,209.0,13.9,3001,435620226,145990243,581610469,-2755,8223,0,OFF,0,0,5277,-191,2,-3
260130_211407,2560,1135,1425,<EA8/LA7XK> M0SNZ -0,-11,-0.0,RS-44,210.4,16.7,2800,435620084,145990291,581610375,-2707,8077,0,OFF,0,1,5186,-184,1,-5
260130_211422,2560,1134,1426,<EA8/LA7XK> M0SNZ -0,-13,-0.0,RS-44,211.2,18.1,2711,435620001,145990319,581610320,-2680,7996,0,OFF,0,0,5130,-186,1,-5
260130_211507,2560,1131,1429,<EA8/LA7XK> M0SNZ -0,-16,-0.0,RS-44,213.6,22.2,2467,435619720,145990413,581610133,-2585,7713,0,OFF,0,0,4940,-188,2,-8
260130_211622,2560,1141,1419,CQ M0SNZ IO91,-12,-0.0,RS-44,219.2,30.4,2088,435618983,145990660,581609643,-2336,6972,0,OFF,0,0,4460,-176,5,-14
260130_211637,2560,1135,1425,CQ M0SNZ IO91,-10,-0.0,RS-44,220.7,32.3,2016,435618779,145990728,581609507,-2266,6762,0,OFF,0,0,4318,-178,6,-17
260130_211652,2560,1134,1426,CQ M0SNZ IO91,-9,-0.1,RS-44,222.4,34.3,1948,435618555,145990803,581609358,-2190,6536,0,OFF,0,0,4168,-178,6,-17
260130_211707,2560,1134,1426,CQ M0SNZ IO91,-8,-0.1,RS-44,224.3,36.3,1882,435618296,145990890,581609186,-2104,6279,0,OFF,0,0,3996,-179,6,-17
260130_211722,2560,1130,1430,CQ M0SNZ IO91,-7,-0.1,RS-44,226.3,38.3,1821,435618023,145990982,581609005,-2012,6005,0,OFF,0,0,3811,-182,7,-20
260130_211737,2560,1141,1419,CQ M0SNZ IO91,-6,-0.0,RS-44,228.7,40.6,1760,435617701,145991090,581608791,-1904,5681,0,OFF,0,0,3608,-169,7,-23
260130_211807,2560,1139,1421,CQ M0SNZ IO91,-4,-0.0,RS-44,234.6,45.2,1649,435616955,145991340,581608295,-1652,4931,0,OFF,0,0,3110,-169,9,-26
260130_211822,2560,1144,1416,CQ M0SNZ IO91,-4,-0.0,RS-44,238.2,47.5,1600,435616537,145991480,581608017,-1508,4501,0,OFF,0,0,2837,-156,11,-32
260130_211922,2560,1152,1408,CQ M0SNZ IO91,-8,-0.0,RS-44,259.2,56.0,1456,435614421,145992189,581606610,-799,2385,0,OFF,0,0,1438,-148,13,-39
260130_212337,2560,1155,1405,CQ M0SNZ IO91,-11,0.0,RS-44,351.4,33.1,1923,435605547,145995162,581600709,2168,-6469,0,OFF,0,0,-4460,-159,7,-18
260130_212352,2560,1155,1405,CQ M0SNZ IO91,-13,-0.0,RS-44,353.1,31.1,1992,435605310,145995242,581600552,2251,-6717,0,OFF,0,0,-4617,-151,6,-17
260130_212407,2560,1156,1404,CQ M0SNZ IO91,-9,-0.0,RS-44,354.6,29.1,2063,435605081,145995319,581600400,2324,-6936,0,OFF,0,0,-4768,-156,5,-18
260130_212422,2560,1152,1408,CQ M0SNZ IO91,-9,-0.0,RS-44,355.9,27.4,2131,435604891,145995382,581600273,2386,-7120,0,OFF,0,0,-4899,-165,4,-11
260130_212437,2560,1151,1409,CQ M0SNZ IO91,-9,-0.0,RS-44,357.2,25.6,2207,435604710,145995443,581600153,2446,-7300,0,OFF,0,0,-5020,-166,4,-13
260130_212452,2560,1151,1409,CQ M0SNZ IO91,-11,-0.0,RS-44,358.3,23.9,2284,435604549,145995497,581600046,2500,-7460,0,OFF,0,0,-5127,-167,4,-11
260130_212507,2560,1150,1410,PD5JOS M0SNZ -14,-11,-0.1,RS-44,359.3,22.3,2361,435604409,145995544,581599953,2546,-7599,0,OFF,0,0,-5221,-168,2,-8
260130_212522,2560,1149,1411,PD5JOS M0SNZ -14,-11,-0.0,RS-44,0.3,20.7,2440,435604282,145995586,581599868,2589,-7725,0,OFF,0,0,-5307,-171,3,-7
260130_212537,2560,1147,1413,PD5JOS M0SNZ -14,-11,-0.0,RS-44,1.2,19.2,2522,435604166,145995625,581599791,2627,-7840,0,OFF,0,0,-5386,-173,2,-7
260130_212552,2560,1149,1411,PD5JOS M0SNZ -14,-14,-0.0,RS-44,2.0,17.8,2604,435604064,145995659,581599723,2661,-7941,0,OFF,0,0,-5452,-172,2,-6
260130_212607,2560,1148,1412,PD5JOS M0SNZ RR73,-16,-0.0,RS-44,2.7,16.5,2684,435603975,145995689,581599664,2691,-8030,0,OFF,0,0,-5512,-173,2,-5
