Timestamp,Tx Offset Hz,Rx Offset Hz,Offset Delta Hz,Message,SNR dB,DT s,Sat,Az °,El °,Range km,Main Hz,Sub Hz,Main+Sub Hz,Doppler up Hz,Doppler down Hz,Tuning Offset Hz,RIT,RIT Freq Hz,Time diff s,Drift,Residual Doppler,Doppler up rate,Doppler down rate
260130_211015,2560,1156,1404,CQ M0SNZ IO91,-16,-0.0,RS-44,203.6,1.6,4137,435620544,145990137,581610681,-2863,8543,0,OFF,0,0,5513,-167,0,-1
260130_211030,2560,1155,1405,CQ M0SNZ IO91,-11,-0.0,RS-44,203.9,2.4,4051,435620538,145990139,581610677,-2861,8538,0,OFF,0,1,5508,-169,0,0
260130_211100,2560,1150,1410,CQ M0SNZ IO91,-13,-0.0,RS-44,204.6,4.1,3871,435620519,145990145,581610664,-2855,8519,0,OFF,0,0,5490,-174,0,0
260130_211115,2560,1147,1413,CQ M0SNZ IO91,-13,-0.0,RS-44,204.9,5.0,3784,435620506,145990150,581610656,-2850,8505,0,OFF,0,0,5479,-176,0,-1
260130_211130,2560,1143,1417,CQ M0SNZ IO91,-11,-0.0,RS-44,205.3,5.9,3694,435620491,145990155,581610646,-2845,8489,0,OFF,0,0,5465,-179,0,-1
260130_211145,2560,1138,1422,CQ M0SNZ IO91,-15,-0.0,RS-44,205.7,6.7,3608,435620471,145990161,581610632,-2838,8470,0,OFF,0,0,5446,-186,1,-1
260130_211200,2560,1136,1424,CQ M0SNZ IO91,-14,-0.0,RS-44,206.0,7.6,3525,435620451,145990168,581610619,-2831,8449,0,OFF,0,1,5431,-187,1,-2
260130_211230,2560,1131,1429,PD0HCV M0SNZ R-10,-10,-0.0,RS-44,206.9,9.6,3347,435620394,145990187,581610581,-2812,8392,0,OFF,0,0,5388,-192,1,-2
260130_211245,2560,1131,1429,PD0HCV M0SNZ 73,-10,-0.0,RS-44,207.4,10.6,3263,435620361,145990198,581610559,-2801,8358,0,OFF,0,0,5366,-191,1,-3
260130_211315,2560,1135,1425,I2OIM M0SNZ +06,-8,-0.0,RS-44,208.4,12.7,3089,435620278,145990226,581610504,-2773,8275,0,OFF,0,0,5315,-187,1,-3
